hotel_id,name,description
51956193h,Fort Piqua Plaza,"hotel building in Piqua, Ohio"
51824364h,Hilton London Kensington,"hotel in London, United Kingdom"
54475224h,Moov Hotel Porto Centro,"hotel in Porto, Portugal"
51918515h,Hilton Cairns,"hotel in Cairns, Australia"
56071855h,DoubleTree by Hilton Hotel & Spa Liverpool,"hotel in Liverpool, United Kingdom"
56027180h,former station for biology Plön,building in Plön
54652699h,DoubleTree Resort by Hilton Penang,"hotel in Penang, Malaysia"
61114082h,"La Bagnaia Golf & Spa Resort Siena, Curio Collection by Hilton","hotel in Siena, Italy"
61165878h,"Hilton at St George's Park, Burton Upon Trent","hotel in Burton upon Trent, United Kingdom"
61741817h,The International,"former casino hotel in Las Vegas, Nevada"
61717587h,Hilton London Gatwick Airport,"hotel at Gatwick Airport, United Kingdom"
61728255h,the Gibson Hotel,the gibson hotel: a unique hotel in dublin city centre
61567322h,Hilton Newcastle Gateshead,"hotel in Tyne and Wear, United Kingdom"
61573625h,Hilton Surfers Paradise Hotel & Residences,"hotel in Surfers Paradise, Australia"
61465403h,DoubleTree by Hilton Hotel Tyumen,"hotel in Tyumen, Russia"
61090457h,Transcorp Hilton Abuja,"hotel in Abuja, Nigeria"
61357012h,Semnani House,"house in Semnan, Iranian national heritage site"
61100884h,DoubleTree by Hilton Hotel London - West End,"hotel in London, United Kingdom"
59493677h,Clayton Hotel Liffey Valley,"4-star hotel in Liffey Valley, Dublin."
57613527h,Palazzo Montemartini,"building in Rome, Italy"
59492195h,Clayton Hotel Silver Springs,4 Star Hotel In Cork
57297679h,"Gran Vía 74, Madrid",building in Madrid
59138963h,Hilton Garden Inn Moscow New Riga,"hotel in Kostrovo, Russia"
60748351h,Harvey Hotel,"hotel building in Gallup, New Mexico"
60732352h,Hilton Garden Inn Dubai Al Jadaf Culture Village,"hotel in Dubai, United Arab Emirates"
60912347h,Hampton by Hilton Freiburg,"hotel in Freiburg, Germany"
59491160h,Clayton Hotel Cork City,4-star hotel in Cork city.
59491401h,Clayton Whites Hotel,4 Star Hotel In Wexford
60323642h,Hoff Building,"historic office building in Boise, Idaho"
60641676h,"Grand Tirolia Hotel Kitzbuhel, Curio Collection by Hilton","hotel in Kitzbühel, Austria"
60055194h,"Wales House, Sydney","historic bank building in Sydney, NSW"
58229015h,DoubleTree by Hilton Hotel Girona,"hotel in Girona, Spain"
60389409h,Ancienne église Saint-Nicolas,"church located in Charente-Maritime, in France"
57739907h,Conrad Xiamen,"hotel in Xiamen, China"
60767158h,Oakland Hotel,"historic building in Oakland, California"
60847568h,King's Casino Rozvadov,Casino and resort in Rozvadov
59131992h,DoubleTree by Hilton Hotel Minsk,"hotel in Minsk, Belarus"
59492250h,Clayton Hotel Galway,4 Star Hotel Located in Galway City
59492478h,Clayton hotel Leopardstown,"4-star hotel in Leopardstown, Dublin."
59519828h,house at V jirchářích 13,house in Prague
57385878h,Hampton by Hilton London Luton Airport,"hotel in Luton, United Kingdom"
60642328h,Canopy by Hilton Zagreb - City Centre,"hotel in Zagreb, Croatia"
60746742h,The Durant,"apartment building and former hotel located in Flint, Michigan"
59209270h,Hilton Istanbul Maslak,"hotel in Sarıyer, Turkey"
59872505h,"George Hotel, Sydney","Heritage listed building in Sydney, New South Wales, Australia"
56827407h,Hilton Garden Inn Puchong,"hotel in Puchong, Malaysia"
59492165h,Hilton Hua Hin Resort & Spa,"hotel in Hua Hin, Thailand"
60452089h,Hilton Cape Town City Centre,"hotel in Cape Town, South Africa"
59420694h,Clayton Hotel Sligo,4-star hotel located in Sligo Town
58069409h,Hampton by Hilton Samara,"hotel in Samara, Russia"
58086658h,Hilton Garden Inn Ufa Riverside,"hotel in Ufa, Russia"
59872532h,Trickett's Hotel,"Heritage-listed pub in Sydney, Australia"
